date,label,lines_pct,functions_pct,build_status,build_conclusion,build_success,build_duration_sec,tests_total,tests_passed,tests_failures,tests_errors,tests_skipped
2026-01-30,rdkcentral/middleware-player-interface [L1],33.1,37.2,completed,success,1.0,331.0,495.0,477.0,0.0,0.0,18.0
2026-02-04,rdkcentral/middleware-player-interface [L1],42.4,45.3,completed,success,1.0,317.0,335.0,334.0,0.0,0.0,1.0
2026-02-05,rdkcentral/middleware-player-interface [L1],42.4,45.3,completed,success,1.0,358.0,335.0,334.0,0.0,0.0,1.0
2026-03-02,rdkcentral/middleware-player-interface [L1],-1.0,-1.0,completed,success,1.0,393.0,454.0,453.0,0.0,0.0,1.0
2026-03-04,rdkcentral/middleware-player-interface [L1],-1.0,-1.0,completed,success,1.0,378.0,454.0,453.0,0.0,0.0,1.0
2026-03-11,rdkcentral/middleware-player-interface [L1],-1.0,-1.0,completed,success,1.0,392.0,454.0,453.0,0.0,0.0,1.0
2026-03-12,rdkcentral/middleware-player-interface [L1],-1.0,-1.0,completed,success,1.0,385.0,454.0,453.0,0.0,0.0,1.0
2026-03-25,rdkcentral/middleware-player-interface [L1],-1.0,-1.0,completed,success,1.0,442.0,454.0,453.0,0.0,0.0,1.0
2026-03-26,rdkcentral/middleware-player-interface [L1],-1.0,-1.0,completed,success,1.0,417.0,454.0,453.0,0.0,0.0,1.0
2026-01-05,rdkcentral/rdkservices [L1],57.0,61.5,completed,success,1.0,1473.0,,,,,
2026-01-09,rdkcentral/rdkservices [L1],56.9,61.5,completed,success,1.0,1448.0,,,,,
2026-01-12,rdkcentral/rdkservices [L1],56.9,61.5,completed,success,1.0,1451.0,,,,,
2026-02-03,rdkcentral/rdkservices [L1],56.9,61.5,completed,success,1.0,1466.0,,,,,
2026-02-11,rdkcentral/rdkservices [L1],56.9,61.5,completed,success,1.0,1470.0,,,,,
2026-02-26,rdkcentral/rdkservices [L1],57.0,61.5,completed,success,1.0,1445.0,,,,,
2026-02-03,rdkcentral/rdkservices [L2],14.2,16.8,completed,success,1.0,389.0,,,,,
2026-02-11,rdkcentral/rdkservices [L2],14.2,16.8,completed,success,1.0,427.0,,,,,
2026-02-13,rdkcentral/rialto [L2],85.2,92.5,completed,action_required,0.0,0.0,,,,,
2026-03-04,rdkcentral/rialto [L2],85.2,92.5,completed,success,1.0,28.0,,,,,
2026-03-05,rdkcentral/rialto [L2],85.2,92.5,completed,success,1.0,158.0,,,,,
2026-03-06,rdkcentral/rialto [L2],67.8,84.8,completed,success,1.0,319.0,,,,,
2026-03-11,rdkcentral/rialto [L2],84.4,92.5,completed,success,1.0,617.0,,,,,
2026-02-06,rdkcentral/rialto-gstreamer [L2],94.0,98.5,completed,failure,0.0,305.0,,,,,
2026-02-09,rdkcentral/rialto-gstreamer [L2],94.0,98.5,completed,success,1.0,268.0,,,,,
2026-02-11,rdkcentral/rialto-gstreamer [L2],94.0,98.5,completed,success,1.0,102.0,,,,,
2026-02-12,rdkcentral/rialto-gstreamer [L2],94.0,98.5,completed,failure,0.0,148.0,497.0,493.0,4.0,0.0,0.0
2026-02-16,rdkcentral/rialto-gstreamer [L2],94.0,98.5,completed,success,1.0,102.0,,,,,
2026-02-25,rdkcentral/rialto-gstreamer [L2],94.1,98.5,completed,success,1.0,2198.0,,,,,
2026-03-02,rdkcentral/rialto-gstreamer [L2],94.1,98.5,completed,success,1.0,207.0,,,,,
2026-03-06,rdkcentral/rialto-gstreamer [L2],94.1,98.5,completed,success,1.0,14.0,,,,,
2026-03-10,rdkcentral/rialto-gstreamer [L2],94.1,98.5,completed,failure,0.0,82.0,,,,,
2026-03-12,rdkcentral/rialto-gstreamer [L2],94.1,98.5,completed,success,1.0,14.0,,,,,
